Kombinationen: 3, Minquote: 1, Maxquote: 1.2, Durchschnittlichergewinn: -1.87
Kombinationen: 3, Minquote: 1, Maxquote: 1.1, Durchschnittlichergewinn: -1.93
Kombinationen: 3, Minquote: 1.05, Maxquote: 1.15, Durchschnittlichergewinn: -1.93
Kombinationen: 3, Minquote: 1, Maxquote: 1.05, Durchschnittlichergewinn: -1.97
Kombinationen: 3, Minquote: 1.45, Maxquote: 1.6, Durchschnittlichergewinn: -1.99
Kombinationen: 3, Minquote: 1.3, Maxquote: 1.45, Durchschnittlichergewinn: -2.0
Kombinationen: 3, Minquote: 1.45, Maxquote: 1.5, Durchschnittlichergewinn: -2.01
Kombinationen: 3, Minquote: 1.15, Maxquote: 1.6, Durchschnittlichergewinn: -2.01
Kombinationen: 3, Minquote: 1.2, Maxquote: 1.45, Durchschnittlichergewinn: -2.02
Kombinationen: 3, Minquote: 1.3, Maxquote: 1.35, Durchschnittlichergewinn: -2.02
Kombinationen: 3, Minquote: 1.25, Maxquote: 1.45, Durchschnittlichergewinn: -2.04
Kombinationen: 3, Minquote: 1, Maxquote: 1.45, Durchschnittlichergewinn: -2.04
Kombinationen: 3, Minquote: 1.25, Maxquote: 1.6, Durchschnittlichergewinn: -2.07
Kombinationen: 3, Minquote: 1.25, Maxquote: 1.3, Durchschnittlichergewinn: -2.07
Kombinationen: 3, Minquote: 1.25, Maxquote: 1.5, Durchschnittlichergewinn: -2.07
Kombinationen: 3, Minquote: 1.4, Maxquote: 1.45, Durchschnittlichergewinn: -2.07
Kombinationen: 3, Minquote: 1.4, Maxquote: 1.6, Durchschnittlichergewinn: -2.09
Kombinationen: 3, Minquote: 1.35, Maxquote: 1.4, Durchschnittlichergewinn: -2.1
Kombinationen: 3, Minquote: 1.25, Maxquote: 1.55, Durchschnittlichergewinn: -2.1
Kombinationen: 3, Minquote: 1.35, Maxquote: 1.55, Durchschnittlichergewinn: -2.11
Kombinationen: 3, Minquote: 1.2, Maxquote: 1.6, Durchschnittlichergewinn: -2.13
Kombinationen: 4, Minquote: 1.15, Maxquote: 1.3, Durchschnittlichergewinn: -2.13
Kombinationen: 3, Minquote: 1.15, Maxquote: 1.35, Durchschnittlichergewinn: -2.14
Kombinationen: 3, Minquote: 1.2, Maxquote: 1.5, Durchschnittlichergewinn: -2.14
Kombinationen: 3, Minquote: 1.2, Maxquote: 1.35, Durchschnittlichergewinn: -2.14
Kombinationen: 3, Minquote: 1, Maxquote: 1.6, Durchschnittlichergewinn: -2.17
Kombinationen: 3, Minquote: 1.2, Maxquote: 1.25, Durchschnittlichergewinn: -2.17
Kombinationen: 3, Minquote: 1.55, Maxquote: 1.55, Durchschnittlichergewinn: -2.17
Kombinationen: 3, Minquote: 1.35, Maxquote: 1.45, Durchschnittlichergewinn: -2.17
Kombinationen: 3, Minquote: 1.05, Maxquote: 1.3, Durchschnittlichergewinn: -2.18
Kombinationen: 3, Minquote: 1.3, Maxquote: 1.4, Durchschnittlichergewinn: -2.19
Kombinationen: 3, Minquote: 1.05, Maxquote: 1.1, Durchschnittlichergewinn: -2.19
Kombinationen: 3, Minquote: 1.15, Maxquote: 1.3, Durchschnittlichergewinn: -2.2
